full_date,date,weekday,time,mood,activities,note_title,note
2023-10-14,October 14,Saturday,9:00 PM,good,"","",""
2023-10-14,October 14,Saturday,9:00 AM,good,"","",""
2023-10-13,October 13,Friday,10:02 PM,bad,"","",""
2023-10-13,October 13,Friday,9:01 AM,good,"","",""
2023-10-12,October 12,Thursday,9:04 PM,good,"","",""
2023-10-12,October 12,Thursday,10:44 AM,good,"","",""
2023-10-11,October 11,Wednesday,9:47 PM,good,"","",""
2023-10-11,October 11,Wednesday,3:22 PM,good,"","",""
2023-10-10,October 10,Tuesday,9:00 PM,good,"","",""
2023-10-10,October 10,Tuesday,4:43 PM,good,"","",""
2023-10-09,October 9,Monday,10:07 PM,good,"","",""
2023-10-08,October 8,Sunday,9:45 PM,good,"","",""
2023-10-08,October 8,Sunday,12:38 PM,good,"","",""
2023-10-07,October 7,Saturday,9:55 PM,good,"","",""
2023-10-07,October 7,Saturday,3:10 PM,good,"","",""
2023-10-06,October 6,Friday,10:28 PM,good,"","",""
2023-10-06,October 6,Friday,12:27 PM,good,"","",""
2023-10-05,October 5,Thursday,9:00 PM,meh,"","",""
2023-10-05,October 5,Thursday,2:04 PM,good,"","",""
2023-10-04,October 4,Wednesday,9:00 PM,good,"","",""
2023-10-04,October 4,Wednesday,6:53 PM,meh,"kindness | listen","",""
2023-10-03,October 3,Tuesday,9:41 PM,bad,"","",""
2023-10-03,October 3,Tuesday,9:00 AM,good,"","",""
2023-10-02,October 2,Monday,10:57 PM,meh,"","",""
2023-10-02,October 2,Monday,8:33 PM,meh,"","",""
2023-10-01,October 1,Sunday,11:49 PM,good,"","",""
2023-10-01,October 1,Sunday,10:44 AM,good,"","",""
2023-09-30,September 30,Saturday,9:00 PM,good,"","",""
2023-09-30,September 30,Saturday,11:22 AM,good,"","",""
2023-09-29,September 29,Friday,10:31 PM,good,"","",""
2023-09-29,September 29,Friday,3:03 PM,good,"","",""
2023-09-28,September 28,Thursday,11:18 PM,good,"","",""
2023-09-27,September 27,Wednesday,9:06 AM,meh,"","",""
2023-09-26,September 26,Tuesday,9:05 PM,good,"","",""
2023-09-26,September 26,Tuesday,9:00 AM,good,"","",""
2023-09-25,September 25,Monday,9:52 PM,good,"","",""
2023-09-25,September 25,Monday,9:31 AM,good,"","",""
2023-09-24,September 24,Sunday,9:00 PM,good,"","",""
2023-09-24,September 24,Sunday,10:06 AM,good,"","",""
2023-09-23,September 23,Saturday,9:51 PM,good,"","",""
2023-09-23,September 23,Saturday,12:03 PM,good,"","",""
2023-09-22,September 22,Friday,10:14 PM,good,"","",""
2023-09-22,September 22,Friday,3:54 PM,good,"","",""
2023-09-21,September 21,Thursday,9:40 PM,good,"","",""
2023-09-20,September 20,Wednesday,9:00 AM,good,"","",""
2023-09-19,September 19,Tuesday,9:00 PM,good,"","",""
2023-09-19,September 19,Tuesday,1:32 PM,good,"","",""
2023-09-18,September 18,Monday,9:08 PM,good,"","",""
2023-09-18,September 18,Monday,11:02 AM,good,"","",""
2023-09-17,September 17,Sunday,9:00 PM,good,"","",""
2023-09-17,September 17,Sunday,12:48 PM,good,"","",""
2023-09-16,September 16,Saturday,9:00 PM,good,"","",""
2023-09-16,September 16,Saturday,11:47 AM,good,"","",""
2023-09-15,September 15,Friday,9:01 AM,good,"","",""
2023-09-14,September 14,Thursday,9:01 PM,good,"","",""
2023-09-13,September 13,Wednesday,9:14 PM,good,"","",""
2023-09-12,September 12,Tuesday,9:00 PM,good,"","",""
2023-09-12,September 12,Tuesday,9:07 AM,good,"","",""
2023-09-11,September 11,Monday,9:00 PM,good,"","",""
2023-09-11,September 11,Monday,9:00 AM,good,"","",""
2023-09-10,September 10,Sunday,9:00 PM,good,"","",""
2023-09-10,September 10,Sunday,11:02 AM,good,"","",""
2023-09-09,September 9,Saturday,9:00 PM,meh,"","",""
2023-09-09,September 9,Saturday,8:51 PM,meh,"","",""
2023-09-08,September 8,Friday,9:00 PM,good,"","",""
2023-09-07,September 7,Thursday,10:10 PM,bad,"","",""
2023-09-07,September 7,Thursday,12:29 PM,good,"","",""
2023-09-06,September 6,Wednesday,9:16 PM,meh,"","",""
2023-09-06,September 6,Wednesday,12:13 PM,meh,"","",""
2023-09-05,September 5,Tuesday,9:36 PM,bad,"","",""
2023-09-05,September 5,Tuesday,12:09 PM,good,"","",""
2023-09-04,September 4,Monday,8:00 PM,meh,"","",""
2023-09-03,September 3,Sunday,9:48 PM,good,"","",""
2023-09-03,September 3,Sunday,9:01 AM,good,"","",""
2023-09-02,September 2,Saturday,9:10 PM,good,"","",""
2023-09-02,September 2,Saturday,11:11 AM,good,"","",""
2023-09-01,September 1,Friday,9:03 PM,good,"","",""
2023-09-01,September 1,Friday,9:25 AM,good,"","",""
2023-08-31,August 31,Thursday,10:35 PM,good,"","",""
2023-08-31,August 31,Thursday,9:00 AM,good,"","",""
2023-08-30,August 30,Wednesday,11:31 PM,good,"","",""
2023-08-30,August 30,Wednesday,3:21 PM,good,"","",""
2023-08-29,August 29,Tuesday,11:51 PM,good,"","",""
2023-08-29,August 29,Tuesday,10:01 AM,good,"","",""
2023-08-28,August 28,Monday,9:21 PM,meh,"","",""
2023-08-28,August 28,Monday,9:00 AM,good,"","",""
